| S.No | Module                  | Task                                                                                                           | Path Location       | Open Date | Close Date | Assigned To  | Priority | Status      | Dev Notes | Remark                   |
| 42.0 |                         | Quick Action Button (+) – Add items (Invoice, Credit Note, Manufacturing Entry etc.)                           |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 43.0 |                         | Notifications layout not uniform                                                                               |                     |           |            | harshwardhan |          | In Progress |           |                          |
| 44.0 |                         | Place of Supply – Autofill after customer/vendor; default home state for no-GST; manually editable             |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 45.0 |                         | Product selection – HSN, GST Rate, UOM auto-update in sales/purchase/credit/debit notes                        |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 46.0 |                         | POS-based IGST or CGST+SGST calculation                                                                        |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 47.0 |                         | Ledger with entries in any FY cannot be deleted                                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 48.0 |                         |                                                                                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 49.0 |                         | Closing balances auto-carry to opening balances for next FY                                                    |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 50.0 |                         | Inventory – Unit conversion: 1 KG = 1000 g, 25 pcs = 1 BOX etc.                                                |                     |           |            | harshwardhan |          | In Progress |           |                          |
| 51.0 |                         | Job Work – Select multiple items (currently only one allowed)                                                  |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 52.0 |                         | Reports – Ledger list with period filter and Excel/PDF export                                                  |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 53.0 |                         |                                                                                                                |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 54.0 |                         | MRP-based sale – Separate taxable value and GST from MRP (GST-inclusive)                                       |                     |           |            | harshwardhan |          |             |           |                          |
| 55.0 |                         | Branch/Factory Setup – Same GSTIN and multi-GSTIN; separate transactions and reporting                         |                     |           |            | harshwardhan |          | Deployed    |           |                          |
| 56.0 |                         | Opening Trial Balance – Bulk update option                                                                     |                     |           |            | harshwardhan |          |             |           |                          |
